Monday,Friday,Monday_growth,Friday_growth,Growth difference
2018-03-12,2018-03-16,0.69,0.13,-0.56
2018-03-19,2018-03-23,-1.38,-1.76,-0.38
2018-04-02,2018-04-06,-1.46,-1.48,-0.02
2018-04-09,2018-04-13,0.4,-0.06,-0.46
2018-04-16,2018-04-20,0.49,-0.56,-1.05
2018-04-23,2018-04-27,-0.26,0.24,0.5
2018-04-30,2018-05-04,-0.1,1.04,1.14
2018-05-07,2018-05-11,1.17,0.36,-0.81
2018-05-14,2018-05-18,0.32,-0.27,-0.59
2018-05-21,2018-05-25,0.67,0.06,-0.61
2018-06-04,2018-06-08,0.62,0.05,-0.57
2018-06-11,2018-06-15,0.49,-0.38,-0.87
2018-06-18,2018-06-22,-0.22,0.06,0.28
2018-06-25,2018-06-29,-1.36,0.83,2.19
2018-07-02,2018-07-06,-0.64,0.81,1.45
2018-07-09,2018-07-13,1.0,0.28,-0.72
2018-07-16,2018-07-20,0.02,-0.04,-0.06
2018-07-23,2018-07-27,-0.11,-0.52,-0.41
2018-07-30,2018-08-03,-0.56,0.74,1.3
2018-08-06,2018-08-10,0.38,-0.81,-1.19
2018-08-13,2018-08-17,-0.08,0.13,0.21
2018-08-20,2018-08-24,0.37,0.27,-0.1
2018-08-27,2018-08-31,0.77,-0.17,-0.94
2018-09-10,2018-09-14,0.26,0.02,-0.24
2018-09-17,2018-09-21,-0.23,0.23,0.46
2018-09-24,2018-09-28,-0.54,-0.14,0.4
2018-10-01,2018-10-05,0.46,-0.43,-0.89
2018-10-08,2018-10-12,-0.47,-0.01,0.46
2018-10-15,2018-10-19,0.36,-0.06,-0.42
2018-10-22,2018-10-26,-0.54,-1.3,-0.76
2018-10-29,2018-11-02,-0.19,0.12,0.31
2018-11-05,2018-11-09,0.1,-0.92,-1.02
2018-11-12,2018-11-16,-1.09,0.98,2.07
2018-11-19,2018-11-23,-0.82,-0.79,0.03
2018-11-26,2018-11-30,0.87,0.31,-0.56
2018-12-03,2018-12-07,1.45,0.26,-1.19
2018-12-10,2018-12-14,-1.89,-1.48,0.41
2018-12-17,2018-12-21,-1.86,-0.76,1.1
2018-12-24,2018-12-28,-3.08,2.17,5.25
2018-12-31,2019-01-04,-0.02,1.53,1.55
2019-01-07,2019-01-11,1.56,0.27,-1.29
2019-01-14,2019-01-18,-0.27,1.36,1.63
2019-01-28,2019-02-01,-1.14,0.48,1.62
2019-02-04,2019-02-08,0.19,-0.31,-0.5
2019-02-11,2019-02-15,0.59,0.85,0.26
2019-02-25,2019-03-01,0.63,0.34,-0.29
2019-03-04,2019-03-08,-0.19,-0.73,-0.54
2019-03-11,2019-03-15,1.19,0.41,-0.78
2019-03-18,2019-03-22,0.28,-0.55,-0.83
2019-03-25,2019-03-29,-0.92,0.65,1.57
2019-04-01,2019-04-05,1.11,0.48,-0.63
2019-04-08,2019-04-12,0.01,0.58,0.57
2019-04-22,2019-04-26,0.1,0.2,0.1
2019-04-29,2019-05-03,0.54,0.77,0.23
2019-05-06,2019-05-10,-0.71,0.08,0.79
2019-05-13,2019-05-17,-1.31,-0.14,1.17
2019-05-20,2019-05-24,-0.95,0.34,1.29
2019-06-03,2019-06-07,-0.5,1.12,1.62
2019-06-10,2019-06-14,0.91,-0.05,-0.96
2019-06-17,2019-06-21,0.18,0.36,0.18
2019-06-24,2019-06-28,-0.2,0.43,0.63
2019-07-01,2019-07-05,0.97,-0.2,-1.17
2019-07-08,2019-07-12,-0.19,0.41,0.6
2019-07-15,2019-07-19,0.18,0.18,0.0
2019-07-22,2019-07-26,-0.24,0.45,0.69
2019-07-29,2019-08-02,-0.01,-1.67,-1.66
2019-08-05,2019-08-09,-2.38,0.05,2.43
2019-08-12,2019-08-16,-0.95,1.34,2.29
2019-08-19,2019-08-23,1.5,-1.4,-2.9
2019-08-26,2019-08-30,-0.46,0.3,0.76
2019-09-09,2019-09-13,0.02,-0.02,-0.04
2019-09-16,2019-09-20,-0.45,-0.4,0.05
2019-09-23,2019-09-27,-0.33,-0.31,0.02
2019-09-30,2019-10-04,0.3,1.82,1.52
2019-10-07,2019-10-11,0.39,1.55,1.16
2019-10-14,2019-10-18,-0.35,-0.4,-0.05
2019-10-21,2019-10-25,0.44,0.21,-0.23
2019-10-28,2019-11-01,0.78,0.78,0.0
2019-11-04,2019-11-08,0.69,-0.18,-0.87
2019-11-11,2019-11-15,-0.04,0.71,0.75
2019-11-18,2019-11-22,0.18,0.12,-0.06
2019-11-25,2019-11-29,0.63,-0.13,-0.76
2019-12-02,2019-12-06,-0.55,1.0,1.55
2019-12-09,2019-12-13,-0.01,0.39,0.4
2019-12-16,2019-12-20,0.66,0.69,0.03
2019-12-23,2019-12-27,0.13,0.23,0.1
2019-12-30,2020-01-03,-0.38,-0.39,-0.01
2020-01-06,2020-01-10,-0.11,0.07,0.18
2020-01-13,2020-01-17,0.19,0.44,0.25
2020-01-27,2020-01-31,-1.83,-0.49,1.34
2020-02-03,2020-02-07,0.11,-0.28,-0.39
2020-02-10,2020-02-14,0.1,0.02,-0.08
2020-02-24,2020-02-28,-3.21,-4.26,-1.05
2020-03-02,2020-03-06,3.79,-3.21,-7.0
2020-03-09,2020-03-13,-4.91,1.24,6.15
2020-03-16,2020-03-20,-4.99,-0.8,4.19
2020-03-23,2020-03-27,-5.39,-0.04,5.35
2020-03-30,2020-04-03,0.8,0.18,-0.62
2020-04-13,2020-04-17,-1.38,2.5,3.88
2020-04-20,2020-04-24,-0.36,-0.08,0.28
2020-04-27,2020-05-01,1.88,-2.28,-4.16
2020-05-04,2020-05-08,-0.85,0.98,1.83
2020-05-11,2020-05-15,0.22,1.11,0.89
2020-05-18,2020-05-22,3.52,-0.45,-3.97
2020-06-01,2020-06-05,0.76,2.51,1.75
2020-06-08,2020-06-12,0.84,-0.82,-1.66
2020-06-15,2020-06-19,-0.45,0.4,0.85
2020-06-22,2020-06-26,-0.61,-0.52,0.09
2020-07-06,2020-07-10,0.76,0.44,-0.32
2020-07-13,2020-07-17,0.98,0.31,-0.67
2020-07-20,2020-07-24,0.54,-1.16,-1.7
2020-07-27,2020-07-31,0.44,0.58,0.14
2020-08-03,2020-08-07,1.46,0.18,-1.28
2020-08-10,2020-08-14,0.26,-0.15,-0.41
2020-08-17,2020-08-21,0.4,0.5,0.1
2020-08-24,2020-08-28,0.97,0.34,-0.63
2020-08-31,2020-09-04,0.21,-2.34,-2.55
2020-09-14,2020-09-18,1.3,-0.74,-2.04
2020-09-21,2020-09-25,-2.1,0.73,2.83
2020-09-28,2020-10-02,2.42,-0.97,-3.39
2020-10-05,2020-10-09,1.26,0.94,-0.32
2020-10-12,2020-10-16,1.57,0.96,-0.61
2020-10-19,2020-10-23,-1.06,0.45,1.51
2020-10-26,2020-10-30,-1.46,-0.94,0.52
2020-11-02,2020-11-06,1.09,-0.13,-1.22
2020-11-09,2020-11-13,2.68,0.83,-1.85
2020-11-16,2020-11-20,1.15,0.13,-1.02
2020-11-23,2020-11-27,0.06,0.28,0.22
2020-11-30,2020-12-04,-0.62,0.41,1.03
2020-12-07,2020-12-11,0.08,-0.33,-0.41
2020-12-14,2020-12-18,0.6,-0.32,-0.92
2021-01-04,2021-01-08,-0.73,0.45,1.18
2021-01-11,2021-01-15,-0.04,-1.03,-0.99
2021-01-25,2021-01-29,-0.34,-1.5,-1.16
2021-02-01,2021-02-05,0.51,0.78,0.27
2021-02-08,2021-02-12,0.5,0.34,-0.16
2021-02-22,2021-02-26,-0.71,-1.14,-0.43
2021-03-01,2021-03-05,1.39,0.2,-1.19
2021-03-08,2021-03-12,1.56,-0.2,-1.76
2021-03-15,2021-03-19,0.43,-0.81,-1.24
