Monday,Friday,Monday_growth,Friday_growth,Growth difference
2018-04-30,2018-04-27,-0.1,0.24,-0.34
2018-05-07,2018-05-04,1.17,1.04,0.13
2018-05-14,2018-05-11,0.32,0.36,-0.04
2018-05-21,2018-05-18,0.67,-0.27,0.94
2018-06-04,2018-06-01,0.62,0.6,0.02
2018-06-11,2018-06-08,0.49,0.05,0.44
2018-06-18,2018-06-15,-0.22,-0.38,0.16
2018-06-25,2018-06-22,-1.36,0.06,-1.42
2018-07-02,2018-06-29,-0.64,0.83,-1.47
2018-07-09,2018-07-06,1.0,0.81,0.19
2018-07-16,2018-07-13,0.02,0.28,-0.26
2018-07-23,2018-07-20,-0.11,-0.04,-0.07
2018-07-30,2018-07-27,-0.56,-0.52,-0.04
2018-08-06,2018-08-03,0.38,0.74,-0.36
2018-08-13,2018-08-10,-0.08,-0.81,0.73
2018-08-20,2018-08-17,0.37,0.13,0.24
2018-08-27,2018-08-24,0.77,0.27,0.5
2018-09-10,2018-09-07,0.26,-0.2,0.46
2018-09-17,2018-09-14,-0.23,0.02,-0.25
2018-09-24,2018-09-21,-0.54,0.23,-0.77
2018-10-01,2018-09-28,0.46,-0.14,0.6
2018-10-08,2018-10-05,-0.47,-0.43,-0.04
2018-10-15,2018-10-12,0.36,-0.01,0.37
2018-10-22,2018-10-19,-0.54,-0.06,-0.48
2018-10-29,2018-10-26,-0.19,-1.3,1.11
2018-11-05,2018-11-02,0.1,0.12,-0.02
2018-11-12,2018-11-09,-1.09,-0.92,-0.17
2018-11-19,2018-11-16,-0.82,0.98,-1.8
2018-11-26,2018-11-23,0.87,-0.79,1.66
2018-12-03,2018-11-30,1.45,0.31,1.14
2018-12-10,2018-12-07,-1.89,0.26,-2.15
2018-12-17,2018-12-14,-1.86,-1.48,-0.38
2018-12-24,2018-12-21,-3.08,-0.76,-2.32
2018-12-31,2018-12-28,-0.02,2.17,-2.19
2019-01-07,2019-01-04,1.56,1.53,0.03
2019-01-14,2019-01-11,-0.27,0.27,-0.54
2019-01-28,2019-01-25,-1.14,1.05,-2.19
2019-02-04,2019-02-01,0.19,0.48,-0.29
2019-02-11,2019-02-08,0.59,-0.31,0.9
2019-02-25,2019-02-22,0.63,0.49,0.14
2019-03-04,2019-03-01,-0.19,0.34,-0.53
2019-03-11,2019-03-08,1.19,-0.73,1.92
2019-03-18,2019-03-15,0.28,0.41,-0.13
2019-03-25,2019-03-22,-0.92,-0.55,-0.37
2019-04-01,2019-03-29,1.11,0.65,0.46
2019-04-08,2019-04-05,0.01,0.48,-0.47
2019-04-15,2019-04-12,-0.05,0.58,-0.63
2019-04-29,2019-04-26,0.54,0.2,0.34
2019-05-06,2019-05-03,-0.71,0.77,-1.48
2019-05-13,2019-05-10,-1.31,0.08,-1.39
2019-05-20,2019-05-17,-0.95,-0.14,-0.81
2019-06-03,2019-05-31,-0.5,-1.01,0.51
2019-06-10,2019-06-07,0.91,1.12,-0.21
2019-06-17,2019-06-14,0.18,-0.05,0.23
2019-06-24,2019-06-21,-0.2,0.36,-0.56
2019-07-01,2019-06-28,0.97,0.43,0.54
2019-07-08,2019-07-05,-0.19,-0.2,0.01
2019-07-15,2019-07-12,0.18,0.41,-0.23
2019-07-22,2019-07-19,-0.24,0.18,-0.42
2019-07-29,2019-07-26,-0.01,0.45,-0.46
2019-08-05,2019-08-02,-2.38,-1.67,-0.71
2019-08-12,2019-08-09,-0.95,0.05,-1.0
2019-08-19,2019-08-16,1.5,1.34,0.16
2019-08-26,2019-08-23,-0.46,-1.4,0.94
2019-09-09,2019-09-06,0.02,0.19,-0.17
2019-09-16,2019-09-13,-0.45,-0.02,-0.43
2019-09-23,2019-09-20,-0.33,-0.4,0.07
2019-09-30,2019-09-27,0.3,-0.31,0.61
2019-10-07,2019-10-04,0.39,1.82,-1.43
2019-10-14,2019-10-11,-0.35,1.55,-1.9
2019-10-21,2019-10-18,0.44,-0.4,0.84
2019-10-28,2019-10-25,0.78,0.21,0.57
2019-11-04,2019-11-01,0.69,0.78,-0.09
2019-11-11,2019-11-08,-0.04,-0.18,0.14
2019-11-18,2019-11-15,0.18,0.71,-0.53
2019-11-25,2019-11-22,0.63,0.12,0.51
2019-12-02,2019-11-29,-0.55,-0.13,-0.42
2019-12-09,2019-12-06,-0.01,1.0,-1.01
2019-12-16,2019-12-13,0.66,0.39,0.27
2019-12-23,2019-12-20,0.13,0.69,-0.56
2019-12-30,2019-12-27,-0.38,0.23,-0.61
2020-01-06,2020-01-03,-0.11,-0.39,0.28
2020-01-13,2020-01-10,0.19,0.07,0.12
2020-01-27,2020-01-24,-1.83,-0.21,-1.62
2020-02-03,2020-01-31,0.11,-0.49,0.6
2020-02-10,2020-02-07,0.1,-0.28,0.38
2020-02-24,2020-02-21,-3.21,-0.61,-2.6
2020-03-02,2020-02-28,3.79,-4.26,8.05
2020-03-09,2020-03-06,-4.91,-3.21,-1.7
2020-03-16,2020-03-13,-4.99,1.24,-6.23
2020-03-23,2020-03-20,-5.39,-0.8,-4.59
2020-03-30,2020-03-27,0.8,-0.04,0.84
2020-04-06,2020-04-03,5.07,0.18,4.89
2020-04-20,2020-04-17,-0.36,2.5,-2.86
2020-04-27,2020-04-24,1.88,-0.08,1.96
2020-05-04,2020-05-01,-0.85,-2.28,1.43
2020-05-11,2020-05-08,0.22,0.98,-0.76
2020-05-18,2020-05-15,3.52,1.11,2.41
2020-06-01,2020-05-29,0.76,-0.73,1.49
2020-06-08,2020-06-05,0.84,2.51,-1.67
2020-06-15,2020-06-12,-0.45,-0.82,0.37
2020-06-22,2020-06-19,-0.61,0.4,-1.01
2020-06-29,2020-06-26,-0.41,-0.52,0.11
2020-07-13,2020-07-10,0.98,0.44,0.54
2020-07-20,2020-07-17,0.54,0.31,0.23
2020-07-27,2020-07-24,0.44,-1.16,1.6
2020-08-03,2020-07-31,1.46,0.58,0.88
2020-08-10,2020-08-07,0.26,0.18,0.08
2020-08-17,2020-08-14,0.4,-0.15,0.55
2020-08-24,2020-08-21,0.97,0.5,0.47
2020-08-31,2020-08-28,0.21,0.34,-0.13
2020-09-14,2020-09-11,1.3,-1.12,2.42
2020-09-21,2020-09-18,-2.1,-0.74,-1.36
2020-09-28,2020-09-25,2.42,0.73,1.69
2020-10-05,2020-10-02,1.26,-0.97,2.23
2020-10-12,2020-10-09,1.57,0.94,0.63
2020-10-19,2020-10-16,-1.06,0.96,-2.02
2020-10-26,2020-10-23,-1.46,0.45,-1.91
2020-11-02,2020-10-30,1.09,-0.94,2.03
2020-11-09,2020-11-06,2.68,-0.13,2.81
2020-11-16,2020-11-13,1.15,0.83,0.32
2020-11-23,2020-11-20,0.06,0.13,-0.07
2020-11-30,2020-11-27,-0.62,0.28,-0.9
2020-12-07,2020-12-04,0.08,0.41,-0.33
2020-12-14,2020-12-11,0.6,-0.33,0.93
2020-12-21,2020-12-18,-0.99,-0.32,-0.67
2021-01-11,2021-01-08,-0.04,0.45,-0.49
2021-01-25,2021-01-22,-0.34,-0.31,-0.03
2021-02-01,2021-01-29,0.51,-1.5,2.01
2021-02-08,2021-02-05,0.5,0.78,-0.28
2021-02-22,2021-02-19,-0.71,0.34,-1.05
2021-03-01,2021-02-26,1.39,-1.14,2.53
2021-03-08,2021-03-05,1.56,0.2,1.36
2021-03-15,2021-03-12,0.43,-0.2,0.63
2021-03-22,2021-03-19,0.67,-0.81,1.48
2021-03-29,2021-03-26,0.38,1.57,-1.19
2021-04-12,2021-04-09,0.26,0.54,-0.28
2021-04-19,2021-04-16,-0.37,0.59,-0.96
2021-04-26,2021-04-23,0.52,0.36,0.16
2021-05-03,2021-04-30,0.29,-0.27,0.56
2021-05-10,2021-05-07,-0.18,1.07,-1.25
2021-05-17,2021-05-14,0.02,1.29,-1.27
2021-05-24,2021-05-21,0.47,0.55,-0.08
2021-06-07,2021-06-04,0.1,0.8,-0.7
2021-06-14,2021-06-11,0.11,0.12,-0.01
2021-06-21,2021-06-18,0.36,-0.7,1.06
2021-06-28,2021-06-25,0.11,0.34,-0.23
2021-07-12,2021-07-09,0.57,0.94,-0.37
2021-07-19,2021-07-16,-1.93,-0.14,-1.79
2021-07-26,2021-07-23,0.36,0.88,-0.52
2021-08-02,2021-07-30,0.06,-0.36,0.42
2021-08-09,2021-08-06,-0.06,0.35,-0.41
2021-08-16,2021-08-13,-0.13,0.35,-0.48
2021-08-23,2021-08-20,1.01,0.74,0.27
