Date,Value,Day of week,Percent change
2021-12-01,4581.6,2,-0.47
2021-12-02,4550.09,3,-0.69
2021-12-03,4551.58,4,0.03
2021-12-06,4576.56,0,0.55
2021-12-07,4663.0,1,1.89
2021-12-08,4689.79,2,0.57
2021-12-09,4680.62,3,-0.2
2021-12-10,4691.9,4,0.24
2021-12-13,4688.95,0,-0.06
2021-12-14,4633.5,1,-1.18
2021-12-15,4661.91,2,0.61
2021-12-16,4691.94,3,0.64
2021-12-17,4633.46,4,-1.25
2021-12-20,4559.5,0,-1.6
2021-12-21,4617.15,1,1.26
2021-12-22,4671.6,2,1.18
2021-12-23,4722.35,3,1.09
2021-12-27,4762.74,0,0.86
2021-12-28,4793.53,1,0.65
2021-12-29,4791.07,2,-0.05
2021-12-30,4792.13,3,0.02
2021-12-31,4776.29,4,-0.33
2022-01-03,4777.41,0,0.02
2022-01-04,4796.44,1,0.4
2022-01-05,4748.57,2,-1.0
2022-01-06,4698.14,3,-1.06
2022-01-07,4685.34,4,-0.27
2022-01-10,4627.63,0,-1.23
2022-01-11,4676.2,1,1.05
2022-01-12,4727.77,2,1.1
2022-01-13,4697.21,3,-0.65
2022-01-14,4639.94,4,-1.22
2022-01-18,4600.47,1,-0.85
2022-01-19,4570.88,2,-0.64
2022-01-20,4540.03,3,-0.67
2022-01-21,4444.93,4,-2.09
2022-01-24,4319.99,0,-2.81
2022-01-25,4349.06,1,0.67
2022-01-26,4379.01,2,0.69
2022-01-27,4369.12,3,-0.23
2022-01-28,4362.59,4,-0.15
2022-01-31,4465.46,0,2.36
2022-02-01,4517.01,1,1.15
2022-02-02,4569.82,2,1.17
2022-02-03,4506.64,3,-1.38
2022-02-04,4495.58,4,-0.25
2022-02-07,4496.66,0,0.02
2022-02-08,4498.36,1,0.04
2022-02-09,4568.51,2,1.56
2022-02-10,4536.62,3,-0.7
2022-02-11,4463.87,4,-1.6
2022-02-14,4395.53,0,-1.53
2022-02-15,4451.02,1,1.26
2022-02-16,4459.62,2,0.19
2022-02-17,4414.94,3,-1.0
2022-02-18,4360.91,4,-1.22
2022-02-22,4314.62,1,-1.06
2022-02-23,4281.51,2,-0.77
2022-02-24,4204.69,3,-1.79
2022-02-25,4336.08,4,3.12
2022-02-28,4351.98,0,0.37
2022-03-01,4329.0,1,-0.53
2022-03-02,4362.02,2,0.76
2022-03-03,4381.17,3,0.44
2022-03-04,4313.55,4,-1.54
2022-03-07,4263.43,0,-1.16
2022-03-08,4217.4,1,-1.08
2022-03-09,4261.25,2,1.04
2022-03-10,4239.04,3,-0.52
2022-03-11,4245.75,4,0.16
2022-03-14,4204.65,0,-0.97
2022-03-15,4229.48,1,0.59
2022-03-16,4305.44,2,1.8
2022-03-17,4374.16,3,1.6
2022-03-18,4427.98,4,1.23
2022-03-21,4453.02,0,0.57
2022-03-22,4495.55,1,0.96
2022-03-23,4478.44,2,-0.38
2022-03-24,4492.88,3,0.32
2022-03-25,4523.55,4,0.68
2022-03-28,4546.67,0,0.51
2022-03-29,4613.48,1,1.47
2022-03-30,4604.54,2,-0.19
2022-03-31,4566.74,3,-0.82
2022-04-01,4528.14,4,-0.85
2022-04-04,4561.35,0,0.73
2022-04-05,4553.81,1,-0.17
2022-04-06,4476.99,2,-1.69
2022-04-07,4485.73,3,0.2
2022-04-08,4497.5,4,0.26
2022-04-11,4436.36,0,-1.36
2022-04-12,4426.17,1,-0.23
2022-04-13,4423.31,2,-0.06
2022-04-14,4425.62,3,0.05
2022-04-18,4390.3,0,-0.8
2022-04-19,4430.83,1,0.92
2022-04-20,4468.52,2,0.85
2022-04-21,4448.7,3,-0.44
2022-04-22,4326.73,4,-2.74
2022-04-25,4249.92,0,-1.78
2022-04-26,4226.59,1,-0.55
2022-04-27,4201.8,2,-0.59
2022-04-28,4248.54,3,1.11
2022-04-29,4196.98,4,-1.21
2022-05-02,4116.16,0,-1.93
2022-05-03,4173.59,1,1.4
2022-05-04,4228.28,2,1.31
2022-05-05,4188.22,3,-0.95
2022-05-06,4112.8,4,-1.8
2022-05-09,4028.38,0,-2.05
2022-05-10,4013.5,1,-0.37
2022-05-11,3988.96,2,-0.61
2022-05-12,3911.84,3,-1.93
2022-05-13,4001.39,4,2.29
2022-05-16,4015.22,0,0.35
2022-05-17,4062.32,1,1.17
2022-05-18,3981.94,2,-1.98
2022-05-19,3911.27,3,-1.77
